#Date            Weight        W    H       R     B       S      Y     G       P Tags
06/22/2021     210.2	         15	0	0	20	0	0	 0	 0
06/23/2021     210.2	         25	0	0	20	0	0	 0	 0
06/27/2021     210.2	         90	0	0	0	0	0	 10	 0
06/29/2021     210.2	         90	0	0	0	0	0	 10	 0
06/30/2021     211.2	         30	0	0	0	0	0	 10	 0
#Date            Weight        W    H       R     B       S      Y     G       P Tags
07/01/2021     211.1	         30	0	0     110	0	0	10	 0
07/02/2021     209.4	         30	0	0     120	0	0	 0	 0
07/03/2021     209.4	         30	0	0     120	0	0	 10	 0
07/11/2021     208.8	         30	0	0     130	0	0	 10	 0
07/21/2021     208.8	         30	0	0       0	0	0	 30	 195
07/22/2021     211.2	         40	0	0       0	0	0	 30	 205
07/23/2021     211.2	         40	0	0       0	0	0	 30	 205
07/26/2021     212.9	         30	0	0       0	0	0	 10 	 0
07/27/2021     209.5	         10	0	0       80	0	0	 30	 205
07/28/2021     208.5	         30	0	0        0	0	0	  0	 0
07/29/2021     208.2	         30	0	0        0	0	0	  0	 0
07/30/2021     207.8	         10	0	0        0	0	0	  0	 0
07/31/2021     209.2	         20	0	0        0	0	0	  0	 0
#Date            Weight        W    H       R     B       S      Y     G       P Tags
08/01/2021     208.8	        70 	0	0       0	0	0	 0	 0
08/02/2021     207.1	        50	0	0       0	0	0	 10	 0
08/03/2021     206.3	        50	0	0       0	0	0	 12	 0
08/04/2021     205.9	        55	0	0       0	0	0	 30	 225
08/05/2021     203.1	        15	0	0       130	0	0	 0	 0
08/06/2021     205.1	        55	0	0       0	0	0	 30	 225
08/07/2021     206.0	        35	0	0       0	0	0	 10	 0
08/08/2021     206.0	          5	0	0       0	0	0	 1	 0
08/09/2021     205.9	         60	0	0       0	0	0	 20	 225
08/10/2021     203.2	         140	0	0       0	0	0	 10	 0
08/11/2021     203.2	         15	0	0       0	0	0	 0	 0
08/12/2021     202.7	         10	0	0       0	0	0	 0	 0
08/13/2021     202.5	         15	0	0       0	0	0	 2	 0
08/14/2021     199.8	         15	0	0       130	0	0	 2	 0
08/15/2021     199.8	         15	0	0       0	0	0	 5	 0
08/16/2021     199.8	         15	0	0       140	0	0	 2	 0
08/17/2021     199.8	         20	0	0       0	0	0	 2	 0
08/18/2021     199.8	         20	0	0       150	0	0	 2	 0
08/19/2021     199.8	         20	0	0       180	0	0	 2	 0
08/20/2021     199.8	         20	0	0       0	0	0	 2	 0
08/21/2021     200.0	         20	0	0       0	0	0	 2	 0
08/22/2021     200.0	         20	0	0       170	0	0	 2	 0
08/23/2021     200.0	         40	0	0       0	0	0	 2	 0
08/24/2021     200.0	         40	0	0       0	0	0	 2	 0
08/27/2021     199.8	         20	0	0       170	0	0	 2	 0
#Date            Weight        W    H       R     B       S      Y     G       P Tags
09/09/2021     198.9	         20	0	0     180	0	0	 0	 0
09/10/2021     198.9	         20	0	0     0	0	0	 0	 0
#Date            Weight        W    H       R     B       S      Y     G       P Tags
10/23/2021     202.0          20	0	0     0	0	0	 5	 0
10/24/2021     202.0          20	0	0     0	0	0	 5	 0
10/25/2021     202.0          20	0	0     0	0	0	 15	 0
10/26/2021     202.0          5	0	0     0	0	0	 15	 0
