<CRACKERS> CHEESE PEANUT,1,ITM,40,5,2,1,1,0.4 ,8,,,,,,,,,,,
<CRACKERS> CHEESE PLAIN,10,ITM,50,6,3,1,6,0.9 ,10,,,,,,,,,,,
<CRACKERS> CHEESE RITZ,6,ITM,200,22,8,2,5,3,38,,,,,,,,,,,
<CRACKERS> CREAM JACOB,1,ITM,34,5,1,0.8,0,0.0 ,8,,,,,,,,,,,
<CRACKERS> GRAHAM PLAIN,2,ITM,60,11,1,1,0,0.4 ,14,,,,,,,,,,,
<CRACKERS> WATER,8,ITMS,130,24,,3,0,,,,,,,,,,,,,,,,2,4
<CRACKERS> WHEAT THIN,4,ITM,35,5,1,1,0,0.5 ,8,,,,,,,,,,,
<CRACKERS> WHOLE-WHEAT,2,ITM,35,5,2,1,0,0.5 ,8,,,,,,,,,,,
