 LARD ,1,TBSP,115,0,13,0,12,5.1 ,13,,,,,,,,,,,
 LIMEADE ,6,FLOZ,75,20,0,0,0,0 ,185,,,,,,,,,,,
 MALT-O-MEAL WITH SALT,1,CUP,120,26,0,4,0,0 ,240,,,,,,,,,,,
 MALTED MILK CHOCOLATE POWDER,0.75,OZ,85,18,1,1,1,0.5 ,21,,,,,,,,,,,
 MAPLE SYRUP,2,TBSP,122,32,0,0,0,0 ,42,,,,,,,,,,,
 MARGARINE IMITATION 40% FAT,1,TBSP,50,0,5,0,0,1.1 ,14,,,,,,,,,,,
 MARGARINE REGULR HARD 80% FAT,1,PAT,35,0,4,0,0,0.8 ,5,,,,,,,,,,,
 MARGARINE REGULR HARD 80% FAT,1,TBSP,100,0,11,0,0,2.2 ,14,,,,,,,,,,,
 MARGARINE REGULR SOFT 80% FAT,1,TBSP,100,0,11,0,0,1.9 ,14,,,,,,,,,,,
 MARGARINE SPREAD SOFT 60% FAT,8,OZ,1225,0,138,1,0,29.1 ,227,,,,,,,,,,,
 MARSHMALLOWS ,1,OZ,90,23,0,1,0,0 ,28.35,,,,,,,,,,,
 MELBA TOAST PLAIN,1,PIECE,20,4,0,1,0,0.1 ,5,,,,,,,,,,,
 MOLASSES CANE BLACKSTRAP,2,TBSP,85,22,0,0,0,0 ,40,,,,,,,,,,,
 MOZZARELLA CHESE SKIM LOMOIST,1,OZ,80,1,5,8,15,3.1 ,28.35,,,,,,,,,,,
 MUFFIN BLUEBERRY,1,ITEM,140,22,5,3,45,1.4 ,45,,,,,,,,,,,
 MUFFIN ENGLISH LIGHT,1,ITM,100,25,1,5,0,0,57,,,,,,,,,,,
 MUFFIN ENGLISH PLAIN,1,ITM,140,27,1,5,0,0.3 ,57,,,,,,,,,,,
 MUSHROOM GRAVY,1,CUP,120,13,6,3,0,1 ,238,,,,,,,,,,,
 MUSTARD PREPARED YELLOW,1,TSP,5,0,0,0,0,0 ,5,,,,,,,,,,,
 NOODLES CHOW MEIN CANNED,1,CUP,220,26,11,6,5,2.1 ,45,,,,,,,,,,,
 NOODLES EGG COOKED,1,CUP,200,37,2,7,50,0.5 ,160,,,,,,,,,,,
 OATMEAL CKD INSTNT PLAIN FORTF,1,PKT,105,18,2,4,0,0.3 ,177,,,,,,,,,,,
 OATMEAL REGULAR,1,CUP,145,25,2,6,0,0.4 ,234,,,,,,,,,,,
 OATMEAL W/ RAISINS COOKIES,4,ITM,245,36,10,3,2,2.5 ,52,,,,,,,,,,,
 OCEAN PERCH BREADED FRIED,1,ITM,185,7,11,16,66,2.6 ,85,,,,,,,,,,,
 OLIVE OIL,1,TBSP,125,0,14,0,0,1.9 ,14,,,,,,,,,,,
 OLIVES CANNED GREEN,4,MEDIUM,15,0,2,0,0,0.2 ,13,,,,,,,,,,,
 OLIVES CANNED RIPE,3,SMALL,15,0,2,0,0,0.3 ,9,,,,,,,,,,,
 ONION POWDER,1,TSP,5,2,0,0,0,0 ,2.1,,,,,,,,,,,
 ONION RINGS BREADED,2,RINGS,80,8,5,1,0,1.7 ,20,,,,,,,,,,,
 ORANGE SODA,12,FLOZ,180,46,0,0,0,0 ,372,,,,,,,,,,,
 PANCAKES BUCKWHEAT FROM MIX,1,ITM,55,6,2,2,20,0.9 ,27,,,,,,,,,,,
 PANCAKES PLAIN,1,ITM,60,8,2,2,16,0.5 ,27,,,,,,,,,,,
 PEANUT BUTTER COOKIE,4,ITM,245,28,14,4,22,4 ,48,,,,,,,,,,,
 PEANUT BUTTER,1,TBSP,95,3,8,5,0,1.4 ,16,,,,,,,,,,,
 PEANUT OIL,1,CUP,1910,0,216,0,0,36.5 ,216,,,,,,,,,,,
 PEANUT OIL,1,TBSP,125,0,14,0,0,2.4 ,14,,,,,,,,,,,
 PEPPER-TYPE SODA,12,FLOZ,160,41,0,0,0,0 ,369,,,,,,,,,,,
 PEPPERS HOT CHILI RAW GREEN,1,PEPPER,20,4,0,1,0,0 ,45,,,,,,,,,,,
 PEPPERS HOT CHILI RAW RED,1,PEPPER,20,4,0,1,0,0 ,45,,,,,,,,,,,
 PEPPERS SWEET RAW GREEN,1,PEPPER,20,4,0,1,0,0 ,74,,,,,,,,,,,
 PEPPERS SWEET RAW RED,1,PEPPER,20,4,0,1,0,0 ,74,,,,,,,,,,,
 PICKLES CUCUMBER DILL,1,PICKLE,5,1,0,0,0,0 ,65,,,,,,,,,,,
 PICKLES CUCUMBER FRESH PACK,2,SLICES,10,3,0,0,0,0 ,15,,,,,,,,,,,
 PICKLES CUCUMBER SWT GHERKIN,1,PICKLE,20,5,0,0,0,0 ,15,,,,,,,,,,,
 PIECRUST ,2,CRUST,1485,141,93,20,0,22.7 ,320,,,,,,,,,,,
 PINEAPPLE-GRAPEFRUIT JUICEDRNK,6,FLOZ,90,23,0,0,0,0 ,187,,,,,,,,,,,
 PIZZA CHEESE,1,SLICE,290,39,9,15,56,4.1 ,120,,,,,,,,,,,
 POPCORN AIR-POPPED,1,CUP,30,6,0,1,0,0 ,8,,,,,,,,,,,
 POPCORN POPPED VEG O,1,CUP,55,6,3,1,0,0.5 ,11,,,,,,,,,,,
 POPSICLE ,1,ITM,70,18,0,0,0,0 ,95,,,,,,,,,,,
 POTATO CHIPS,10,CHIPS,105,10,7,1,0,1.8 ,20,,,,,,,,,,,
 POTPIE BEEF,1,PIECE,515,39,30,21,42,7.9 ,2,,,,,,,,,,,10
 POTPIE CHICKEN,1,PIECE,545,42,31,23,56,10.3 ,232,,,,,,,,,,,
 PRETZELS STICK,10,ITM,10,2,0,0,0,0 ,3,,,,,,,,,,,
 PRETZELS TWISTED DUTCH,1,ITM,65,13,1,2,0,0.1 ,16,,,,,,,,,,,
 PRETZELS TWISTED THIN,10,ITM,240,48,2,6,0,0.4 ,60,,,,,,,,,,,
 QUICHE LORRAINE,1,SLICE,600,29,48,13,285,23.2 ,176,,,,,,,,,,,
 REFRIED BEANS CANNED,1,CUP,295,51,3,18,0,0.4 ,290,,,,,,,,,,,
 RELISH SWEET,1,TBSP,20,5,0,0,0,0 ,15,,,,,,,,,,,
