### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 Colorado    	COS	38,48.50,N	104,42.60,W	6171	12/30	119.9	TA 
 ConchasP    	E89	35,22.00,N	104,11.28,W	4230	09/27	_	TAV 
 Conlen      	4E4	36,14.50,N	102,14.53,W	3817	04/22	_	TA 
 Coronado    	4AC	35,11.75,N	106,34.40,W	5280	03/21	_	TA 
 Cortez      	cez	37,18.10,N	108,37.60,W	5914	_	_	T 
 Costilla    	cst	36,58.73,N	105,31.93,W	7799	_	_	TL 
 Craig       	CAG	40,29.72,N	107,32.05,W	6194	07/25	122.8	TA 
 Cranwell    	uk1	52,05.00,N	0,30.00,W	647	08/26	122.8	TA 
 Crawford    	99V	38,42.23,N	107,38.77,W	6470	07/25	122.8	TA 
 CrystalL    	cry	40,55.00,N	105,42.00,W	8000	_	_	TA 
 Cuchara     	07v	37,31.40,N	105,00.00,W	7154	06/24	122.7	TAV 
 CusterCO    	cut	43,43.99,N	103,37.06,W	5602	07/25	122.8	TAV 
 DIA         	dvv	39,50.00,N	104,40.00,W	5431	_	_	T 
 Dalhart     	DHT	36,01.40,N	102,32.83,W	3989	03/21	_	TAV 
 DavisR      	9NE3	42,11.25,N	101,47.37,W	3768	02/20	_	TA 
 Dixon       	9U4	41,02.30,N	107,29.83,W	6520	06/24	_	TAV 
 DodsonBR    	5NE9	40,44.00,N	102,03.03,W	3575	N/S	_	TA 
 Doolittl    	1E1	35,49.00,N	104,57.03,W	6570	03/21	_	TA 
 Douglas     	dgw	42,47.84,N	105,23.17,W	4929	_	_	T 
 DwnTFC      	3v5	40,35.27,N	105,02.45,W	4935	07/29	_	T 
 DurangoA    	DRO	37,09.08,N	107,45.23,W	6686	02/20	122.8	TA 
 EagleCnt    	EGE	39,38.55,N	106,55.07,W	6539	07/25	122.95	TA 
 EastMoor    	8CO4	39,40.23,N	104,08.17,W	5250	18/36	_	AV 
