### TP FILE - COLORADO/WY/NM/IA
# Name          ID      LAT		LONG		MSL	RWAY	RADIO   ATTR
 Sublette    	65K	37,29.48,N	100,49.78,W	2907	08/26	_	TAV 
 Sunray      	Q43	36,01.75,N	101,49.73,W	3507	02/20	_	TA 
 SupremeF    	SN87	37,15.60,N	100,54.40,W	2830	01/19	_	TAV 
 Svitak      	52NE	42,02.70,N	103,57.95,W	4183	09/27	_	TA 
 Sydney      	syd	41,05.41,N	102,58.35,W	4312	_	122.8	T 
 Syracuse    	3K3	37,59.50,N	101,44.78,W	3322	03/21	_	TA 
 Taos        	SKX	36,27.48,N	105,40.35,W	7090	04/22	122.8	TA 
 Telluride    	TEX	37,57.22,N	107,54.50,W	9078	09/27	123.0	TA 
 Tezak       	CO19	38,25.00,N	105,36.00,W	6280	08/26	_	TA 
 Thiel       	WY44	41,15.17,N	105,04.12,W	6870	07/25	_	TL
 Thomas      	76V	42,31.13,N	105,01.15,W	4665	16/34	_	AV 
 Torringt    	TOR	42,03.87,N	104,09.17,W	4205	02/20	_	TA 
 Tranquil    	88CO	38,53.50,N	104,14.60,W	6320	01/19	_	TA 
 Trego       	5NE5	41,12.40,N	101,08.62,W	2957	10/28	_	AV 
 Tri-Coun    	48V	40,00.65,N	105,02.70,W	5131	09/27	123.0	TA 
 TribuneK    	5K2	38,27.00,N	101,44.20,W	3619	08/26	122.8	TA 
 TruthCon    	tcs	33,17.00,N	107,16.80,W	4850	_	_	T 
 TwoBar      	WY59	41,55.98,N	105,05.10,W	5110	17/35	_	TA 
 Uhrich      	CO70	40,27.63,N	104,38.73,W	4715	17/35	_	TA 
 Ulysses     	ULS	37,36.10,N	101,22.37,W	3065	12/30	_	TA 
 ValAir      	CD82	37,20.50,N	107,51.00,W	6549	17/35	_	TA 
 VanBoeni    	6NE0	40,47.22,N	101,09.95,W	3102	12/30	_	AV 
 VanTrees    	0CO9	37,39.50,N	106,02.03,W	7613	08/26	_	TA 
 Victor      	vic	38,43.00,N	105,09.00,W	8000	_	_	T 
 Vowers      	WY29	41,37.33,N	104,47.12,W	5550	06/24	_	TA 
 WPueblo     	7CO8	38,21.80,N	104,44.50,W	5135	08/26	_	TA 
 Walden      	33V	40,44.10,N	106,16.28,W	8150	03/21	_	TA 
 Walker      	6KS3	38,50.73,N	101,44.88,W	3670	N/S	_	TA 
 WalkerGJ    	GJT	39,07.72,N	108,31.63,W	4859	04/22	118.1	TA 
 Wallace     	64V	40,49.93,N	101,09.85,W	3101	13/31	_	AV 
 WdlndPk     	wpk	39,00.00,N	105,04.00,W	8000	_	_	T 
 Westberg    	74CO	40,02.83,N	104,12.57,W	4857	14/32	_	AV 
 Westwate    	UT42	39,08.80,N	109,08.70,W	4660	18/36	_	AV 
 Widner      	8CO5	38,50.03,N	107,53.53,W	6020	04/22	_	AV 
 Williams    	7CO4	40,36.25,N	103,56.37,W	4860	07/25	_	TAP 
 WilsonR     	CO95	38,03.17,N	107,58.77,W	9580	10/28	_	AV 
 WineGlas    	6CO3	37,38.18,N	103,39.47,W	4708	01/19	_	AV 
 WingsThi    	CO58	40,06.35,N	104,57.28,W	5000	18/36	_	AV 
 Winslow     	inw	35,01.30,N	110,43.40,W	4938	_	_	T 
 Wirth       	24V	40,30.00,N	103,52.28,W	4836	12/30	_	TA 
 Woods       	73CO	38,23.33,N	107,49.38,W	6120	13/31	_	AV 
 Wray        	2V5	40,05.92,N	102,14.28,W	3661	14/32	122.8	TA 
 YampaV      	HDN	40,28.87,N	107,13.57,W	6601	10/28	123.0	TA 
 Yankee      	CO53	40,38.00,N	104,59.85,W	5050	18/36	_	TA 
 YocamR      	7CO5	40,18.00,N	104,13.78,W	4461	06/24	_	TA 
 Yoder       	CD09	39,49.18,N	104,24.55,W	5345	08/26	_	AV 
 Youtsey     	CO09	38,16.50,N	104,17.10,W	4500	11/29	_	TA 
 Yuma        	2V6	40,06.25,N	102,42.78,W	4137	12/30	122.8	TA 
