129,40:20.479N,106:50.970W,7119F,TA,Pleasant Vly,08/26 23T   ,
130,39:15.609N,104:42.209W,6995F,TL,PvtStrip1   ,N/S HGRS T  ,
131,39:23.828N,106:06.379W,14262F,T,Quandary Pk ,MT Peak     ,
132,39:52.138N,105:14.699W,6279F,T,R Flats ?   ,Grass LZ ?? ,
133,36:44.546N,104:30.103W,6352F,TA,Raton   ,02/20 122.8,
134,40:54.490N,105:05.029W,5859F,TAL,Rawhide?    ,07/25 20G?  ,
135,41:14.729N,105:43.859W,7201F,TA,Rays        ,16/34 22D   ,
136,40:06.989N,104:19.029W,4819F,TA,Reid Rnches ,17/35 34G   ,
137,40:12.889N,104:59.059W,4977F,TA,RnchoDeAero ,18/36 27T   ,
138,38:46.989N,104:44.029W,5997F,TA,Rocky Mtn   ,04/22 30T   ,
139,39:56.998N,105:40.999W,11696F,T,Rollins Pass,MT Pass     ,
140,40:45.099N,105:41.899W,10997F,T,S Bald Mtn  ,MT Peak     ,
141,38:32.300N,106:02.830W,4446F,TA,Salida   ,06/24 122.7 0V2     ,
142,40:40.239N,104:12.489W,4947F,TA,Schawo      ,14/32 D     ,
143,40:16.099N,106:07.589W,8934F,TA,Shah Strip  ,Nw/Senrlk   ,
144,40:43.289N,104:46.679W,5233F,TA,Shaull Farm ,16/34 22.75 ,
145,39:13.489N,106:10.179W,14032F,T,Sherman Mt  ,MT Peak     ,
146,40:49.709N,106:04.669W,10787F,T,Shipman Mt  ,MT Peak     ,
147,40:23.329N,106:51.199W,6847F,TA,Sidney Peak ,07/25 13T   ,
148,39:07.999N,104:01.359W,5977F,TL,SimlaW      ,N/S HGRW T  ,
149,39:52.329N,104:09.189W,4937F,TA,Singleton Rc,08/26 15T   ,
150,37:41.796N,104:77.088W,6055F,TA,SpanishPeaks   ,09/27 122.8     ,
