UTCTime,INSLatitude,INSLongitude,UncorrBaro,CorrBaro,CAS,TAS,SAT,GPSMSLAlt
70858.000000,41.889839,-91.708374,1017.000000,1146.000000,0.062000,0.000000,16.500000,856.625
70859.000000,41.889839,-91.708374,1017.000000,1146.000000,1.562000,1.188000,16.500000,856.250
70860.000000,41.889839,-91.708374,1016.000000,1146.000000,1.500000,1.188000,16.500000,856.500
70861.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,856.500
70862.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,856.375
70863.000000,41.889839,-91.708374,1016.000000,1146.000000,0.938000,0.562000,16.750000,856.125
70864.000000,41.889839,-91.708374,1016.000000,1146.000000,0.250000,0.000000,16.750000,856.375
70865.000000,41.889839,-91.708374,1016.000000,1146.000000,0.750000,0.000000,16.750000,855.875
70866.000000,41.889839,-91.708374,1016.000000,1145.000000,1.188000,0.562000,16.750000,856.250
70867.000000,41.889839,-91.708374,1016.000000,1146.000000,2.812000,2.375000,16.750000,856.375
70868.000000,41.889839,-91.708374,1016.000000,1146.000000,1.438000,1.188000,16.750000,856.250
70869.000000,41.889839,-91.708374,1016.000000,1146.000000,0.688000,0.000000,16.500000,855.875
70870.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.375
70871.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.125
70872.000000,41.889839,-91.708374,1016.000000,1146.000000,0.125000,0.000000,16.500000,856.250
70873.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.250
70874.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.000
70875.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.375
70876.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,855.875
70877.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,856.125
70878.000000,41.889839,-91.708374,1016.000000,1145.000000,0.688000,0.000000,16.500000,856.125
70879.000000,41.889839,-91.708374,1016.000000,1144.000000,0.875000,0.562000,16.500000,856.375
70880.000000,41.889839,-91.708374,1016.000000,1144.000000,0.250000,0.000000,16.750000,856.250
70881.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.750000,856.500
70882.000000,41.889839,-91.708374,1016.000000,1144.000000,0.562000,0.000000,16.750000,856.375
70883.000000,41.889839,-91.708374,1015.000000,1144.000000,0.812000,0.562000,16.750000,856.625
70884.000000,41.889839,-91.708374,1015.000000,1144.000000,1.812000,1.188000,16.750000,856.250
70885.000000,41.889839,-91.708374,1016.000000,1145.000000,3.938000,3.562000,16.750000,856.625
70886.000000,41.889839,-91.708374,1016.000000,1145.000000,3.562000,3.000000,16.750000,856.375
70887.000000,41.889839,-91.708374,1017.000000,1146.000000,1.188000,0.562000,16.500000,856.500
70888.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,856.625
70889.000000,41.889839,-91.708374,1016.000000,1144.000000,0.062000,0.000000,16.500000,856.250
70890.000000,41.889839,-91.708374,1015.000000,1144.000000,1.438000,1.188000,16.500000,856.250
70891.000000,41.889839,-91.708374,1015.000000,1144.000000,0.062000,0.000000,16.500000,856.500
70892.000000,41.889839,-91.708374,1015.000000,1144.000000,0.062000,0.000000,16.500000,856.250
70893.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,856.500
70894.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,856.125
70895.000000,41.889839,-91.708374,1017.000000,1145.000000,0.062000,0.000000,16.750000,856.375
70896.000000,41.889839,-91.708374,1017.000000,1145.000000,0.062000,0.000000,16.750000,856.375
70897.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.750000,856.500
70898.000000,41.889839,-91.708374,1016.000000,1144.000000,0.062000,0.000000,16.750000,856.625
70899.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.750000,856.375
70900.000000,41.889839,-91.708374,1015.000000,1144.000000,0.062000,0.000000,17.000000,857.000
70901.000000,41.889839,-91.708374,1015.000000,1144.000000,0.062000,0.000000,17.000000,856.875
70902.000000,41.889839,-91.708374,1016.000000,1145.000000,0.812000,0.562000,17.250000,856.875
70903.000000,41.889839,-91.708374,1016.000000,1144.000000,0.062000,0.000000,17.250000,856.875
70904.000000,41.889839,-91.708374,1015.000000,1144.000000,1.250000,0.562000,17.250000,857.000
70905.000000,41.889839,-91.708374,1015.000000,1144.000000,2.625000,2.375000,17.250000,857.500
70906.000000,41.889839,-91.708374,1015.000000,1144.000000,2.000000,1.750000,17.250000,857.000
70907.000000,41.889839,-91.708374,1015.000000,1144.000000,1.562000,1.188000,17.250000,857.500
70908.000000,41.889839,-91.708374,1015.000000,1144.000000,0.062000,0.000000,17.000000,857.625
70909.000000,41.889839,-91.708374,1015.000000,1144.000000,1.125000,0.000000,17.000000,857.500
70910.000000,41.889839,-91.708374,1015.000000,1144.000000,2.062000,1.750000,17.000000,857.875
70911.000000,41.889839,-91.708374,1015.000000,1144.000000,0.125000,0.000000,17.000000,857.750
70912.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.000000,857.750
70913.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.000000,858.250
70914.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.000000,858.000
70915.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,17.000000,857.750
70916.000000,41.889839,-91.708374,1016.000000,1145.000000,0.812000,0.000000,17.000000,858.125
70917.000000,41.889839,-91.708374,1016.000000,1145.000000,1.000000,0.562000,17.000000,858.125
70918.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.000000,858.125
70919.000000,41.889839,-91.708374,1016.000000,1147.000000,0.062000,0.000000,17.000000,858.375
70920.000000,41.889839,-91.708374,1017.000000,1148.000000,0.500000,0.000000,16.750000,858.000
70921.000000,41.889839,-91.708374,1017.000000,1148.000000,2.000000,1.750000,16.500000,858.375
70922.000000,41.889839,-91.708374,1016.000000,1147.000000,0.062000,0.000000,16.500000,858.000
70923.000000,41.889839,-91.708374,1016.000000,1147.000000,0.062000,0.000000,16.500000,858.500
70924.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,16.500000,858.375
70925.000000,41.889839,-91.708374,1016.000000,1146.000000,0.688000,0.000000,16.500000,858.375
70926.000000,41.889839,-91.708374,1015.000000,1145.000000,0.875000,0.562000,16.500000,858.500
70927.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.500000,858.375
70928.000000,41.889839,-91.708374,1015.000000,1145.000000,0.062000,0.000000,16.500000,858.500
70929.000000,41.889839,-91.708374,1015.000000,1144.000000,2.500000,1.750000,16.500000,858.375
70930.000000,41.889839,-91.708374,1016.000000,1145.000000,0.625000,0.000000,16.750000,858.500
70931.000000,41.889839,-91.708374,1016.000000,1146.000000,1.188000,0.562000,16.750000,858.375
70932.000000,41.889839,-91.708374,1017.000000,1145.000000,5.750000,5.438000,16.750000,858.250
70933.000000,41.889839,-91.708374,1016.000000,1144.000000,2.375000,2.375000,16.750000,858.375
70934.000000,41.889839,-91.708374,1015.000000,1144.000000,1.875000,1.188000,17.000000,858.500
70935.000000,41.889839,-91.708374,1015.000000,1144.000000,0.438000,0.000000,17.000000,858.375
70936.000000,41.889839,-91.708374,1014.000000,1144.000000,0.062000,0.000000,17.000000,858.250
70937.000000,41.889839,-91.708374,1014.000000,1144.000000,0.062000,0.000000,17.000000,858.625
70938.000000,41.889839,-91.708374,1014.000000,1144.000000,0.062000,0.000000,17.000000,858.625
70939.000000,41.889839,-91.708374,1015.000000,1145.000000,0.062000,0.000000,17.000000,858.375
70940.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.000000,858.500
70941.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,17.000000,858.125
70942.000000,41.889839,-91.708374,1015.000000,1145.000000,2.562000,1.750000,17.000000,858.375
70943.000000,41.889839,-91.708374,1014.000000,1144.000000,1.312000,0.562000,17.000000,858.500
70944.000000,41.889839,-91.708374,1014.000000,1144.000000,3.938000,3.625000,17.000000,858.250
70945.000000,41.889839,-91.708374,1014.000000,1144.000000,2.000000,1.750000,17.000000,858.375
70946.000000,41.889839,-91.708374,1015.000000,1144.000000,1.438000,1.188000,17.000000,858.500
70947.000000,41.889839,-91.708374,1015.000000,1145.000000,2.000000,1.750000,16.750000,858.375
70948.000000,41.889839,-91.708374,1015.000000,1145.000000,1.062000,0.562000,16.750000,858.250
70949.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,16.750000,858.750
70950.000000,41.889839,-91.708374,1017.000000,1146.000000,0.062000,0.000000,16.500000,858.375
70951.000000,41.889839,-91.708374,1017.000000,1146.000000,0.062000,0.000000,16.500000,858.125
70952.000000,41.889839,-91.708374,1017.000000,1147.000000,1.938000,1.188000,16.500000,858.500
70953.000000,41.889839,-91.708374,1017.000000,1146.000000,0.062000,0.000000,16.500000,858.375
70954.000000,41.889839,-91.708374,1017.000000,1148.000000,0.062000,0.000000,16.500000,857.875
70955.000000,41.889839,-91.708374,1018.000000,1148.000000,0.062000,0.000000,16.750000,858.500
70956.000000,41.889839,-91.708374,1018.000000,1147.000000,0.062000,0.000000,16.750000,858.375
70957.000000,41.889839,-91.708374,1017.000000,1147.000000,0.062000,0.000000,16.750000,858.000
70958.000000,41.889839,-91.708374,1018.000000,1147.000000,0.062000,0.000000,16.750000,858.375
70959.000000,41.889839,-91.708374,1018.000000,1148.000000,0.062000,0.000000,16.750000,858.125
70960.000000,41.889839,-91.708374,1018.000000,1148.000000,0.062000,0.000000,16.750000,858.250
70961.000000,41.889839,-91.708374,1018.000000,1148.000000,0.062000,0.000000,16.750000,858.125
70962.000000,41.889839,-91.708374,1018.000000,1148.000000,0.062000,0.000000,16.750000,858.250
70963.000000,41.889839,-91.708374,1018.000000,1147.000000,0.062000,0.000000,16.750000,858.000
70964.000000,41.889839,-91.708374,1018.000000,1147.000000,0.062000,0.000000,17.000000,858.250
70965.000000,41.889839,-91.708374,1017.000000,1147.000000,0.062000,0.000000,17.000000,858.000
70966.000000,41.889839,-91.708374,1016.000000,1146.000000,0.062000,0.000000,17.250000,857.750
70967.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,17.250000,858.125
70968.000000,41.889839,-91.708374,1015.000000,1145.000000,0.062000,0.000000,17.250000,857.750
70969.000000,41.889839,-91.708374,1015.000000,1145.000000,0.062000,0.000000,17.500000,857.875
70970.000000,41.889839,-91.708374,1016.000000,1145.000000,0.062000,0.000000,17.500000,857.750
70971.000000,41.889839,-91.708374,1016.000000,1144.000000,0.062000,0.000000,17.500000,857.625
70972.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.500000,857.625
70973.000000,41.889839,-91.708374,1015.000000,1143.000000,1.062000,0.562000,17.500000,857.375
70974.000000,41.889839,-91.708374,1015.000000,1144.000000,1.938000,1.750000,17.500000,857.625
70975.000000,41.889839,-91.708374,1015.000000,1143.000000,0.375000,0.000000,17.250000,857.250
70976.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.250000,857.125
70977.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.250000,857.375
70978.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.250000,857.125
70979.000000,41.889839,-91.708374,1016.000000,1143.000000,0.062000,0.000000,17.250000,857.375
70980.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.500000,857.125
70981.000000,41.889839,-91.708374,1015.000000,1143.000000,0.062000,0.000000,17.500000,857.125
70982.000000,41.889839,-91.708374,1015.000000,1143.000000,1.250000,0.562000,17.500000,857.125
70983.000000,41.889839,-91.708374,1016.000000,1143.000000,2.500000,2.375000,17.500000,856.875
70984.000000,41.889839,-91.708374,1017.000000,1144.000000,4.312000,4.188000,17.250000,856.875
70985.000000,41.889839,-91.708374,1017.000000,1144.000000,1.625000,1.188000,17.250000,856.875
70986.000000,41.889839,-91.708374,1017.000000,1145.000000,1.250000,0.562000,17.250000,857.000
70987.000000,41.889839,-91.708374,1017.000000,1145.000000,0.062000,0.000000,17.250000,856.875
70988.000000,41.889839,-91.708374,1016.000000,1145.000000,1.875000,1.188000,17.000000,856.625
70989.000000,41.889839,-91.708374,1016.000000,1145.000000,2.688000,3.000000,17.000000,857.000
70990.000000,41.889839,-91.708374,1016.000000,1146.000000,0.125000,0.000000,16.750000,856.750
70991.000000,41.889839,-91.708374,1016.000000,1146.000000,0.562000,0.000000,16.750000,856.750
70992.000000,41.889839,-91.708374,1016.000000,1145.000000,1.188000,0.562000,16.500000,857.125
70993.000000,41.889839,-91.708374,1016.000000,1145.000000,0.375000,0.000000,16.500000,857.125
70994.000000,41.889839,-91.708374,1017.000000,1145.000000,0.625000,0.000000,16.500000,857.000
70995.000000,41.889839,-91.708374,1017.000000,1145.000000,0.688000,0.000000,16.500000,857.250
70996.000000,41.889839,-91.708374,1017.000000,1145.000000,0.062000,0.000000,16.500000,857.125
70997.000000,41.889839,-91.708374,1017.000000,1145.000000,0.062000,0.000000,16.750000,857.250
70998.000000,41.889839,-91.708374,1017.000000,940.000000,0.062000,0.000000,16.750000,857.125
70999.000000,41.889839,-91.708374,1016.000000,935.000000,0.062000,0.000000,16.750000,857.625
71000.000000,41.889839,-91.708374,1016.000000,935.000000,0.062000,0.000000,17.000000,857.250
71001.000000,41.889839,-91.708374,1016.000000,890.000000,0.062000,0.000000,17.000000,857.250
71002.000000,41.889839,-91.708374,1016.000000,881.000000,0.062000,0.000000,17.000000,857.000
71003.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.000000,857.625
71004.000000,41.889839,-91.708374,1016.000000,880.000000,0.625000,0.000000,17.000000,857.250
71005.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.000000,857.500
71006.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.000000,857.500
71007.000000,41.889839,-91.708374,1017.000000,880.000000,0.062000,0.000000,17.000000,857.625
71008.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.000000,857.500
71009.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.000000,857.625
71010.000000,41.889839,-91.708374,1017.000000,880.000000,0.062000,0.000000,17.000000,857.625
71011.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.250000,858.000
71012.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,17.250000,857.500
71013.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.250000,857.625
71014.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.250000,857.500
71015.000000,41.889839,-91.708374,1017.000000,881.000000,0.562000,0.000000,17.250000,857.750
71016.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.250000,857.750
71017.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.250000,857.875
71018.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.000000,857.500
71019.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,17.000000,857.750
71020.000000,41.889839,-91.708374,1017.000000,881.000000,1.375000,0.562000,17.000000,857.500
71021.000000,41.889839,-91.708374,1017.000000,880.000000,0.438000,0.000000,16.750000,857.625
71022.000000,41.889839,-91.708374,1017.000000,880.000000,1.250000,0.562000,16.750000,857.500
71023.000000,41.889839,-91.708374,1017.000000,880.000000,2.688000,2.375000,16.750000,857.625
71024.000000,41.889839,-91.708374,1017.000000,880.000000,1.188000,0.562000,16.750000,857.625
71025.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,16.750000,857.875
71026.000000,41.889839,-91.708374,1016.000000,879.000000,0.062000,0.000000,16.750000,857.625
71027.000000,41.889839,-91.708374,1016.000000,880.000000,0.062000,0.000000,16.750000,858.125
71028.000000,41.889839,-91.708374,1017.000000,880.000000,0.062000,0.000000,16.750000,857.750
71029.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,16.750000,858.000
71030.000000,41.889839,-91.708374,1018.000000,881.000000,0.062000,0.000000,16.750000,857.875
71031.000000,41.889839,-91.708374,1018.000000,881.000000,0.062000,0.000000,16.750000,858.125
71032.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,857.750
71033.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,857.750
71034.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.125
71035.000000,41.889839,-91.708374,1019.000000,882.000000,0.062000,0.000000,16.750000,857.875
71036.000000,41.889839,-91.708374,1019.000000,883.000000,0.062000,0.000000,16.750000,858.250
71037.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,857.750
71038.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.000
71039.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.250
71040.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,857.875
71041.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.125
71042.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.000
71043.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.000
71044.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.125
71045.000000,41.889839,-91.708374,1018.000000,881.000000,0.062000,0.000000,16.750000,858.125
71046.000000,41.889839,-91.708374,1017.000000,881.000000,0.062000,0.000000,16.750000,858.125
71047.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.000
71048.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.125
71049.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.250
71050.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.125
71051.000000,41.889839,-91.708374,1018.000000,882.000000,0.375000,0.000000,16.750000,858.750
71052.000000,41.889839,-91.708374,1019.000000,882.000000,0.375000,0.000000,16.750000,858.250
71053.000000,41.889839,-91.708374,1018.000000,882.000000,0.062000,0.000000,16.750000,858.500
71054.000000,41.889839,-91.708374,1018.000000,882.000000,0.875000,0.000000,16.750000,858.500
71055.000000,41.889839,-91.708374,1018.000000,882.000000,0.438000,0.000000,16.750000,858.750
71056.000000,41.889839,-91.708374,1019.000000,883.000000,0.062000,0.000000,16.750000,858.625
71057.000000,41.889839,-91.708374,1019.000000,884.000000,0.062000,0.000000,16.750000,859.000
71058.000000,41.889839,-91.708374,1019.000000,883.000000,0.062000,0.000000,16.750000,858.750
71059.000000,41.889839,-91.708374,1018.000000,883.000000,0.062000,0.000000,16.750000,859.375
71060.000000,41.889839,-91.708374,1018.000000,883.000000,0.062000,0.000000,16.750000,859.000
71061.000000,41.889839,-91.708374,1018.000000,883.000000,0.062000,0.000000,16.750000,859.500
71062.000000,41.889839,-91.708374,1018.000000,883.000000,0.062000,0.000000,17.000000,859.250
71063.000000,41.889839,-91.708374,1018.000000,883.000000,0.062000,0.000000,17.000000,859.250
