#Date            Weight           W    H       R       B        S      Y     G       P Tags
09/29/2023   194.5               60       0         0   0     0  30    0    0 +
09/30/2023   195.5               60       0         0   0     0  30    0    0 
#Date            Weight           W    H       R       B     S     Y    G     P Tags
10/01/2023   195.5               60     0         0   0     0    30    0    0
10/02/2023   191.5               80     0         10   0     0   10   20  185








      






























