Date         	Weight	Walk	Hike	Run	Bike	Swim	Yard	Gym	Bpress	Tags	
07/10/2019	205.8	30	0	0	0	0	0	50	235		
07/11/2019	205.8	20	0	0	0	0	0	0	0		
07/12/2019	205.8	30	0	0	0	0	0	0	0		
07/13/2019	202.8	10	0	0	180	0	0	0	0		
07/14/2019	204.8	20	0	0	0	0	0	0	0		
07/15/2019	204.8	30	0	0	0	0	0	45	235		
07/19/2019	205.0	15	0	0	15	0	0	60	235		
07/20/2019	204.2	15	0	0	180	0	0	0	0		
07/24/2019	204.2	15	0	0	120	0	0	0	0		
07/25/2019	202.8	15	0	0	80	0	0	40	235		
10/07/2019	212.0	15	0	0	0	0	0	60	245		
10/08/2019	212.0	15	0	0	0	0	0	60	245		
10/09/2019	212.0	65	0	0	0	0	0	60	265		
10/10/2019	212.0	15	0	0	0	0	0	60	265		
10/11/2019	212.0	25	0	0	0	0	0	60	265		
10/12/2019	212.0	10	0	0	90	0	0	0	0		
10/13/2019	212	10	0	0	120	0	0	0	0		
10/14/2019	212	10	0	0	0	0	0	60	265		
10/15/2019	212	10	0	0	0	0	0	0	0		
10/16/2019	210	10	0	0	0	0	0	0	0		
10/17/2019	208	10	0	0	0	0	0	0	0		
10/18/2019	206	10	0	0	0	0	0	0	0		
10/23/2019	205	10	0	0	150	0	0	0	0		
10/27/2019	205	15	0	0	150	0	0	0	0		
10/28/2019	211	60	0	0	0	0	0	0	0		
10/29/2019	211	15	0	0	150	0	0	0	0		
10/30/2019	211	15	0	0	0	0	0	0	60		
10/31/2019	211	15	0	0	120	0	0	0	0		
11/01/2019	211	15	0	0	120	0	0	0	0		
11/02/2019	211	60	0	0	0	0	0	0	0		
11/03/2019	211	60	0	0	120	0	0	0	0		
11/04/2019	211	60	0	0	0	0	0	60	200		
11/05/2019	211	120	0	0	0	0	0	0	0		
11/06/2019	211	10	0	0	140	0	0	0	0		
11/07/2019	211	10	0	0	0	0	0	60	200		
11/08/2019	211	120	0	0	0	0	0	0	0
11/09/2019	211	10	0	0	120	0	0	0	0
11/10/2019	211	10	0	0	120	0	0	0	0
11/11/2019	210	30	0	0	0	0	0	60	205
11/12/2019	210	120	0	0	0	0	0	0	0
11/13/2019	210	120	0	0	0	0	0	0	0
11/14/2019	210	90	0	0	0	0	0	0	0
11/15/2019	210	60	0	0	0	0	0	0	0
11/16/2019	210	130	0	0	0	0	0	0	0
11/17/2019	210	140	0	0	0	0	0	0	0
11/18/2019	210	60	0	0	0	0	0	0	0
11/19/2019	210	50	0	0	40	0	0	0	205
11/20/2019	210	20	0	0	0	0	0	0	0
11/21/2019	210	20	0	0	140	0	0	0	0
11/22/2019	210	40	0	0	0	0	0	40	205
11/23/2019	210	120	0	0	0	0	0	0	0
