# Breakfast
<DRINK>COFFEE BLACK,6,FLOZ,0,0,0,0,0,0 ,180,,,,,,,,,,,,
<EGGS>WHOLE,1,ITM,71.5,0.4,5.0,6.3,211,1.5,50,126,5,0,2,14,0,7,4,6,11,2,0,3,5,3,2,4
<BREAD>TOAST WHITE,1,SLICE,65,12,1,2,0,0.3 ,25,,,,,,,,,,,
<DRINK>MILK WHOLE,1,CUP,146,12.8,7.9,7.9,24.4,4.6,244,34.9,5,0,7,26,1,9,4,3,18,1,1,28,0,4,10,7 
<JUICE>ORANGE RAW,1,CUP,110,26,0,2,0,0.1 ,248,,,,,,,,,,,
<VEG>MUSHROOMS WHITE,1,CUP,15.4,2.3,0.2,2.2,0.0,0.0,70,12.1,0,2,4,17,13,10,4,3,0,0,0,0,2,0,6,2 
<FRUIT>TOMATOES RED,1,CUP,26.8,5.8,0.3,1.3,0.0,0.0,149,10.0,25,32,4,2,4,1,6,6,0,4,15,1,2,0,10,2,
<MEAL>CHICKEN BURRITO BREAKFAST,1,ITM,290,35,11,14,30,3,142,,10,20,,,,,,,,,,10,15,26,

