<SODA>  CLUB,12,FLOZ,0,0,0,0,0,0 ,355,,,,,,,,,,,
<SODA>  COLA DIET ASPARTAME ONLY,12,FLOZ,0,0,0,0,0,0 ,355,,,,,,,,,,,
<SODA>  COLA DIET ASPRTAME + SACCHRN,12,FLOZ,0,0,0,0,0,0 ,355,,,,,,,,,,,
<SODA>  COLA DIET SACCHARIN ONLY,12,FLOZ,0,0,0,0,0,0 ,355,,,,,,,,,,,
<SODA>  COLA REGULAR,12,FLOZ,160,41,0,0,0,0 ,369,,,,,,,,,,,
<SODA>  LEMON-LIME,12,FLOZ,155,39,0,0,0,0 ,372,,,,,,,,,,,
 GINGER ALE,12,FLOZ,125,32,0,0,0,0 ,366,,,,,,,,,,,
 GRAPE SODA,12,FLOZ,180,46,0,0,0,0 ,372,,,,,,,,,,,
