# DRINKS
<DRINK>COFFEE BLACK              ,6,FLOZ,0,0,0,0,0,0 ,180,,,,,,,,,,,,
<DRINK>COFFEE INSTANT           ,6,FLOZ,0,1,0,0,0,0 ,182,,,,,,,,,,,,
<DRINK>MILK WHOLE,1,CUP,146,12.8,7.9,7.9,24.4,4.6,244,34.9,5,0,7,26,1,9,4,3,18,1,1,28,0,4,10,7 
