# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,82138,0,0,0,0, 17686, 17686,200.00,1124.00,  0.00,  0.24
3,82142,0,0,0,0, 17895, 17896,200.00,2169.00,  0.00,  0.28
4,82147,1,0,0,0, 18138, 18139,200.00,3141.00,  0.04,  0.31
5,82151,1,0,0,0, 18333, 18334,200.00,2992.00,  0.08,  0.35
6,82156,1,0,0,0, 18570, 18571,200.00,2895.00,  0.12,  0.39
7,82160,1,0,0,0, 18753, 18754,200.00,2838.00,  0.15,  0.43
8,82165,1,0,0,0, 18983, 18984,200.00,2783.00,  0.19,  0.46
9,82169,1,0,0,0, 19173, 19174,200.00,2785.00,  0.23,  0.50
10,82174,1,0,0,0, 19426, 19426,200.00,2882.00,  0.27,  0.54
11,82178,1,0,0,0, 19626, 19627,200.00,2962.00,  0.30,  0.57
12,82183,1,0,0,0, 19870, 19870,200.00,2988.00,  0.34,  0.61
13,82187,1,0,0,0, 20065, 20065,200.00,2951.00,  0.38,  0.65
14,82192,1,0,0,0, 20312, 20313,200.00,2939.00,  0.42,  0.69
15,82196,1,0,0,0, 20501, 20502,200.00,2908.00,  0.45,  0.72
16,82201,1,0,0,0, 20714, 20714,200.00,2785.00,  0.49,  0.76
17,82205,1,0,0,0, 20871, 20872,200.00,2582.00,  0.52,  0.80
18,82210,1,0,0,0, 21053, 21053,200.00,2365.00,  0.57,  0.83
19,82214,1,0,0,0, 21192, 21192,200.00,2208.00,  0.60,  0.87
20,82219,1,0,0,0, 21360, 21361,200.00,2095.00,  0.64,  0.91
21,82224,1,0,0,0, 21494, 21494,200.00,1903.00,  0.68,  0.95
22,82228,1,0,0,0, 21686, 21687,200.00,2168.00,  0.72,  0.99
23,82233,1,0,0,0, 21854, 21854,200.00,2168.00,  0.76,  1.00
24,82237,1,0,0,0, 22055, 22056,200.00,2637.00,  0.79,  1.00
25,82242,1,0,0,0, 22219, 22219,200.00,2333.00,  0.83,  1.00
26,82246,1,0,0,0, 22418, 22418,200.00,2656.00,  0.87,  1.00
27,82251,1,0,0,0, 22577, 22577,200.00,2287.00,  0.91,  1.00
28,82255,1,0,0,0, 22754, 22755,200.00,2516.00,  0.94,  1.00
29,82260,1,0,0,0, 22883, 22883,200.00,2037.00,  0.98,  1.00
30,82264,1,0,0,0, 23058, 23058,200.00,2276.00,  1.00,  1.00
31,82269,1,0,0,0, 23248, 23249,200.00,2151.00,  1.00,  1.00
32,82273,1,0,0,0, 23411, 23411,200.00,2450.00,  1.00,  1.00
33,82278,1,0,0,0, 23607, 23607,200.00,2359.00,  1.00,  1.00
34,82282,1,0,0,0, 23744, 23744,200.00,2284.00,  1.00,  1.00
35,82287,1,0,0,0, 23884, 23885,200.00,2029.00,  1.00,  1.00
36,82291,1,0,0,0, 23986, 23987,200.00,1755.00,  1.00,  1.00
37,82296,1,0,0,0, 24115, 24115,200.00,1586.00,  1.00,  1.00
38,82300,1,0,0,0, 24228, 24228,200.00,1591.00,  1.00,  1.00
39,82305,1,0,0,0, 24397, 24397,200.00,1757.00,  1.00,  1.00
40,82309,1,0,0,0, 24549, 24550,200.00,2001.00,  1.00,  1.00
41,82314,1,0,0,0, 24756, 24756,200.00,2264.00,  1.00,  1.00
42,82318,1,0,0,0, 24902, 24902,200.00,2318.00,  1.00,  1.00
43,82323,1,0,0,0, 25051, 25052,200.00,2154.00,  1.00,  1.00
44,82327,1,0,0,0, 25169, 25169,200.00,1916.00,  1.00,  1.00
45,82332,1,0,0,0, 25344, 25345,200.00,1886.00,  1.00,  1.00
46,82338,1,0,0,0, 25612, 25613,200.00,2183.33,  1.00,  1.00
47,82342,1,0,0,0, 25802, 25803,200.00,2543.33,  1.00,  1.00
48,82347,1,0,0,0, 25998, 25998,200.00,2627.33,  1.00,  1.00
49,82351,1,0,0,0, 26085, 26086,200.00,2169.00,  1.00,  1.00
50,82356,1,0,0,0, 26174, 26174,200.00,1575.00,  1.00,  1.00
