# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
76,85492,2,0,0,0, 16228, 16229,  0.00,-198.00, -1.00, -1.00
77,85497,0,1,296,0, 16219, 16219,-108.00,-119.00, -1.00, -1.00
78,85501,0,1,291,0, 16214, 16215,  0.00,-76.00, -1.00, -1.00
79,85506,0,1,287,0, 16217, 16218,  0.00,-49.00, -1.00, -1.00
80,85510,0,1,282,0, 16227, 16228,150.00, 37.00, -1.00, -1.00
81,85515,0,1,278,0, 16235, 16235,  0.00, 94.00, -1.00, -1.00
82,85519,0,1,273,0, 16233, 16234,  0.00, 72.00, -1.00, -1.00
83,85524,0,1,269,0, 16243, 16243,120.00, 62.00, -1.00, -1.00
84,85528,0,1,264,0, 16249, 16249,  0.00, 60.00, -1.00, -1.00
85,85532,0,1,260,0, 16245, 16246,  0.00, 50.00, -1.00, -1.00
86,85537,0,1,256,0, 16232, 16233,-156.00,-42.00, -1.00, -1.00
87,85541,0,1,251,0, 16241, 16242,135.00,-27.00, -1.00, -1.00
88,85546,0,1,247,0, 16231, 16231,-120.00,-47.00, -1.00, -1.00
89,85550,0,1,242,0, 16216, 16217,-200.00,-70.00, -1.00, -1.00
90,85555,2,0,0,0, 16225, 16225,108.00,-79.00, -0.98, -1.00
91,85559,0,1,295,0, 16231, 16231,  0.00, -9.00, -1.00, -1.00
92,85564,0,1,291,0, 16243, 16243,144.00,114.00, -1.00, -1.00
93,85568,0,1,286,0, 16240, 16241,  0.00, 63.00, -1.00, -1.00
94,85573,0,1,282,0, 16252, 16252,144.00, 81.00, -1.00, -1.00
95,85577,0,1,277,0, 16261, 16262,135.00, 78.00, -1.00, -1.00
