# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,73634,0,0,0,0, 26361, 26362,  0.00,-15.00,  0.00,  0.49
3,73639,0,0,0,0, 26367, 26367,  0.00,  9.00,  0.00,  0.46
4,73643,0,0,0,0, 26374, 26375,105.00, 44.00,  0.00,  0.49
5,73647,0,0,0,0, 26381, 26382,105.00, 94.00,  0.00,  0.49
6,73652,1,0,0,0, 26385, 26385,  0.00, 86.00,  0.00,  0.49
7,73656,0,0,0,0, 26383, 26384,  0.00, 41.00,  0.00,  0.49
8,73661,0,0,0,0, 26384, 26384,  0.00, 10.00,  0.00,  0.49
9,73665,0,0,0,0, 26387, 26387,  0.00,  9.00,  0.00,  0.49
10,73670,0,0,0,0, 26387, 26388,  0.00, 19.00,  0.00,  0.49
11,73674,0,0,0,0, 26390, 26391,  0.00, 30.00,  0.00,  0.49
12,73679,0,0,0,0, 26389, 26390,  0.00, 11.00,  0.00,  0.49
13,73683,0,0,0,0, 26386, 26387,  0.00, -4.00,  0.00,  0.49
14,73688,0,0,0,0, 26387, 26387,  0.00,-15.00,  0.00,  0.49
15,73692,0,0,0,0, 26384, 26384,  0.00,-26.00,  0.00,  0.49
16,73697,0,0,0,0, 26385, 26386,  0.00, -7.00,  0.00,  0.49
17,73702,0,0,0,0, 26390, 26390,  0.00,  9.00,  0.00,  0.49
18,73706,0,0,0,0, 26390, 26390,  0.00, 24.00,  0.00,  0.49
19,73711,0,0,0,0, 26390, 26390,  0.00, 20.00,  0.00,  0.49
20,73715,0,0,0,0, 26388, 26388,  0.00,-10.00,  0.00,  0.49
21,73720,0,0,0,0, 26386, 26387,  0.00,-18.00,  0.00,  0.49
22,73724,0,0,0,0, 26387, 26387,  0.00,-13.00,  0.00,  0.49
23,73729,0,0,0,0, 26385, 26386,  0.00,-11.00,  0.00,  0.49
24,73733,0,0,0,0, 26385, 26385,  0.00, -3.00,  0.00,  0.49
25,73738,0,0,0,0, 26387, 26387,  0.00,  0.00,  0.00,  0.49
26,73742,0,0,0,0, 26387, 26387,  0.00,  8.00,  0.00,  0.49
27,73747,0,0,0,0, 26386, 26386,  0.00,  4.00,  0.00,  0.49
28,73751,0,0,0,0, 26387, 26388,  0.00,  1.00,  0.00,  0.49
29,73758,0,0,0,0, 26387, 26388,  0.00,  1.00,  0.00,  0.49
