2,83528,0,0,0, 39972,     0,-135.00,-45.00,  0.00, -1.91,-135.00,  0.00,  0.00
3,83532,0,0,0, 39951,     0,-150.00,-150.00,  0.00, -1.91,-315.00,  0.00,  0.00
4,83536,0,0,0, 39938,     0,-150.00,-215.00,  0.00, -1.91,-195.00, -0.03, -0.02
5,83540,2,0,0, 39938,     0,  0.00,-170.00,  0.00, -1.91,  0.00, -0.07, -0.03
6,83544,0,0,0, 39948,     0,150.00,-15.00,  0.00, -1.91,150.00, -0.03, -0.02
7,83548,0,0,0, 39947,     0,  0.00, 45.00,  0.00, -1.91,-15.00,  0.00,  0.00
8,83555,0,0,0, 39940,     0,  0.00, 25.00,  0.00, -1.91,-60.00,  0.00,  0.00
9,83559,0,0,0, 39947,     0,105.00, 10.00,  0.00, -1.91,105.00,  0.00,  0.00
10,83563,0,0,0, 39955,     0,120.00, 55.00,  0.00, -1.91,120.00,  0.00,  0.00
11,83567,0,0,0, 39962,     0,105.00,110.00,  0.00, -1.91,105.00,  0.00,  0.00
12,83571,0,0,0, 39968,     0,  0.00,105.00,  0.00, -1.91, 90.00,  0.00,  0.00
13,83575,0,0,0, 39966,     0,  0.00, 55.00,  0.00, -1.91,-30.00,  0.00,  0.00
14,83579,0,0,0, 39965,     0,  0.00, 15.00,  0.00, -1.91,-15.00,  0.00,  0.00
15,83583,0,0,0, 39964,     0,  0.00,-20.00,  0.00, -1.91,-15.00,  0.00,  0.00
16,83587,0,0,0, 39964,     0,  0.00,-10.00,  0.00, -1.91,  0.00,  0.00,  0.00
17,83592,0,0,0, 39970,     0,  0.00, 19.00,  0.00, -1.91, 72.00,  0.00,  0.00
18,83596,0,0,0, 39976,     0,  0.00, 54.00,  0.00, -1.91, 90.00,  0.00,  0.00
19,83600,0,0,0, 39965,     0,-150.00, -1.00,  0.00, -1.91,-165.00,  0.00,  0.00
20,83605,0,0,0, 39941,     0,-150.00,-121.00,  0.00, -1.91,-288.00,  0.00,  0.00
21,83609,0,0,0, 39919,     0,-150.00,-261.00,  0.00, -1.91,-330.00, -0.03, -0.02
22,83613,2,0,0, 39915,     0,  0.00,-226.00,  0.00, -1.91,-60.00, -0.07, -0.03
23,83618,0,0,0, 39930,     0,150.00,-70.00,  0.00, -1.91,180.00, -0.02, -0.01
24,83622,0,0,0, 39948,     0,150.00,130.00,  0.00, -1.91,270.00,  0.00,  0.00
25,83627,0,0,0, 39949,     0,  0.00,154.00,  0.00, -1.91, 12.00,  0.00,  0.00
26,83631,0,0,0, 39940,     0,-135.00, 49.00,  0.00, -1.91,-135.00,  0.00,  0.00
27,83636,0,0,0, 39933,     0,  0.00,-69.00,  0.00, -1.91,-84.00,  0.00,  0.00
28,83640,0,0,0, 39932,     0,  0.00,-78.00,  0.00, -1.91,-15.00,  0.00,  0.00
29,83645,0,0,0, 39931,     0,  0.00,-37.00,  0.00, -1.91,-12.00,  0.00,  0.00
