Task,Code,Priority,PercentDone,Start_date,Update,
tidy barn,H_B,3,1,01/13/2018,xx,
tidy workshop,Y,3,1,1/12/18,xx,
tidy garage,Y,3,60,01/13/2018,xx,
shrub clear,Y,3,10,03/19/2018,03/19/2018,
Stump removal,G,3,10,03/19/2018,03/19/2018,
